Day,Month,Year,Hour,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
3,10,2004,18,1360.0,1046.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578
3,10,2004,19,1292.0,955.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255
3,10,2004,20,1402.0,939.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502
3,10,2004,21,1376.0,948.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867
3,10,2004,22,1272.0,836.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888
3,10,2004,23,1197.0,750.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848
3,11,2004,0,1185.0,690.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603
3,11,2004,1,1136.0,672.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702
3,11,2004,2,1094.0,609.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648
3,11,2004,4,1011.0,527.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465
3,11,2004,5,1066.0,512.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366
3,11,2004,6,1052.0,553.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353
3,11,2004,7,1144.0,667.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417
3,11,2004,8,1333.0,900.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408
3,11,2004,9,1351.0,960.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691
3,11,2004,10,1233.0,827.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552
3,11,2004,11,1179.0,762.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352
3,11,2004,12,1236.0,774.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951
3,11,2004,13,1286.0,869.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393
3,11,2004,14,1371.0,1034.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736
3,11,2004,15,1310.0,933.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778
3,11,2004,16,1292.0,912.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569
3,11,2004,17,1383.0,1020.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185
3,11,2004,18,1581.0,1319.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065
3,11,2004,19,1776.0,1488.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319
3,11,2004,20,1640.0,1404.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133
3,11,2004,21,1313.0,1076.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419
3,11,2004,22,965.0,749.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905
3,11,2004,23,913.0,629.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657
3,12,2004,0,1080.0,805.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438
3,12,2004,1,1044.0,829.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308
3,12,2004,2,988.0,718.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276
3,12,2004,4,831.0,506.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248
3,12,2004,5,847.0,501.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233
3,12,2004,6,927.0,571.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234
3,12,2004,7,1091.0,730.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316
3,12,2004,8,1587.0,1236.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499
3,12,2004,10,1350.0,1118.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632
3,12,2004,11,1263.0,1037.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243
3,12,2004,12,1206.0,986.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195
3,12,2004,13,1252.0,1016.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262
3,12,2004,14,1287.0,1078.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656
3,12,2004,15,1353.0,1122.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661
3,12,2004,16,1309.0,1073.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657
3,12,2004,17,1274.0,1041.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549
3,12,2004,18,1510.0,1277.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766
3,12,2004,19,1525.0,1246.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084
3,12,2004,20,1843.0,1610.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478
3,12,2004,21,1598.0,1299.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536
3,12,2004,22,1484.0,1127.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774
3,12,2004,23,1677.0,1346.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771
3,13,2004,0,1280.0,964.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597
3,13,2004,1,1196.0,873.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423
3,13,2004,2,1184.0,782.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256
3,13,2004,4,1147.0,821.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158
3,13,2004,5,978.0,625.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982
3,13,2004,6,1100.0,646.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887
3,13,2004,7,1112.0,770.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932
3,13,2004,8,1336.0,1043.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945
3,13,2004,9,1408.0,1153.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124
3,13,2004,10,1447.0,1081.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335
3,13,2004,11,1542.0,1184.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451
3,13,2004,12,1451.0,1117.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709
3,13,2004,13,1328.0,1059.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695
3,13,2004,14,1207.0,924.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127
3,13,2004,15,1240.0,947.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042
3,13,2004,16,1306.0,987.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012
3,13,2004,17,1326.0,1000.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117
3,13,2004,18,1473.0,1163.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451
3,13,2004,19,1609.0,1286.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569
3,13,2004,20,1611.0,1274.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786
3,13,2004,21,1621.0,1247.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091
3,13,2004,22,1444.0,1089.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806
3,13,2004,23,1418.0,1010.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193
3,14,2004,0,1534.0,1013.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498
3,14,2004,1,1484.0,1045.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536
3,14,2004,2,1367.0,925.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537
3,14,2004,4,1130.0,773.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603
